,Rat,Timepoint_Name,Speed_Group,Belt_Speed,Stride,Step_Length,Step_Duration,Stance_Duration,Step_Height,Mean_Asis_Toe_Height,Variation_Asis_Toe_Height,Mean_Asis_Toe_Height_Stance,Variation_Asis_Toe_Height_Stance,Mean_Asis_Toe_Height_Swing,Variation_Asis_Toe_Height_Swing,Mean_Ankle,Variation_Ankle,Mean_Ankle_Stance,Variation_Ankle_Stance,Mean_Ankle_Swing,Variation_Ankle_Swing,Mean_Knee,Variation_Knee,Mean_Knee_Stance,Variation_Knee_Stance,Mean_Knee_Swing,Variation_Knee_Swing,Mean_Hip,Variation_Hip,Mean_Hip_Stance,Variation_Hip_Stance,Mean_Hip_Swing,Variation_Hip_Swing,Max_Asis_Height,Max_Asis_Height_Stance,Max_Asis_Height_Swing,Max_Hip_Height,Max_Hip_Height_Stance,Max_Hip_Height_Swing,Max_Knee_Height,Max_Knee_Height_Stance,Max_Knee_Height_Swing,Max_Ankle_Height,Max_Ankle_Height_Stance,Max_Ankle_Height_Swing,Min_Asis_Height,Min_Asis_Height_Stance,Min_Asis_Height_Swing,Min_Hip_Height,Min_Hip_Height_Stance,Min_Hip_Height_Swing,Min_Knee_Height,Min_Knee_Height_Stance,Min_Knee_Height_Swing,Min_Ankle_Height,Min_Ankle_Height_Stance,Min_Ankle_Height_Swing,Mean_Asis_Height,Mean_Asis_Height_Stance,Mean_Asis_Height_Swing,Mean_Hip_Height,Mean_Hip_Height_Stance,Mean_Hip_Height_Swing,Mean_Knee_Height,Mean_Knee_Height_Stance,Mean_Knee_Height_Swing,Mean_Ankle_Height,Mean_Ankle_Height_Stance,Mean_Ankle_Height_Swing,Mean_Hip_Toe_Height,Mean_Hip_Toe_Height_Stance,Mean_Hip_Toe_Height_Swing,Mean_Knee_Toe_Height,Mean_Knee_Toe_Height_Stance,Mean_Knee_Toe_Height_Swing,Mean_Ankle_Toe_Height,Mean_Ankle_Toe_Height_Stance,Mean_Ankle_Toe_Height_Swing,Unnamed: 0_x,Unnamed: 0_y,Unnamed: 0_x,Unnamed: 0_y,exptype
10,155,week2,speed16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
11,155,week2,speed20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
12,155,week2,speed24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
13,155,week2,speed28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
14,155,week2,speed32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
15,155,week4,speed16,0.16,3.5333333330000003,,0.581333333,0.40733333299999996,,66.0853333,11.6378903,70.36423884,9.299652037000001,66.95499972,8.695842103,68.54748772,17.48491261,67.42548001,13.05043971,74.11315249,12.13067758,91.54865866,13.24325649,93.34457395,11.22658161,89.91179902,11.201256800000001,131.061431,17.48491261,129.1950757,14.85628394,128.3120897,16.49531656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.78028971,53.59718451,,22.65219333,26.71348051,,10.05221874,12.52532048,,0.0,0.0,0.0,0,dreadds
16,155,week4,speed20,0.2,3.84375,,0.509125,0.33799999999999997,21.75529693,63.48669888,6.014319045,65.4766824,5.390594457000001,61.60446125,4.427461695,64.06730317,14.71217541,63.00066122,10.44216922,67.27765187,10.61932838,91.43770466,11.567395300000001,93.94237657,9.203523918,87.79982445,10.40218622,135.67989430000003,14.71217541,137.7627654,12.43715979,132.7330679,14.77871542,82.49588751,80.18048572,80.72440004,67.28731808,64.67505328,65.54286764,,41.1671847,42.87653832,30.64865185,25.33586998,30.32694703,71.30706703,71.45605915,74.47654362,54.79177519,54.92041251,59.01048658,23.29702814,23.40058235,26.94583382,,,,76.44134685,75.19316528,78.02502084,60.5654073,58.97131667,62.84398011,32.24267002,29.77180036,,20.07087061,17.62043058,24.66155146,47.61075933,49.25483379,46.42342051,19.28802205,20.05531748,19.16653377,7.209070602000001,7.970480181,8.36308174,0.0,0.0,0.0,0,dreadds
17,155,week4,speed24,0.24,3.9411764710000003,20.10902811,0.477882353,0.304352941,14.57065201,63.29112767,4.303435184,64.83088019,3.647397121,60.73124417,2.877373664,63.07600006,14.513979800000001,61.1833339,10.17134038,66.36693948,11.48504292,93.80320954,11.40756447,97.40956492,8.217606623,87.74059659999999,10.94983269,134.42269299999998,14.513979800000001,136.3517105,12.87459892,131.2274125,14.89212764,75.95322763,73.34519577,74.1993186,60.56790225,57.23152819,59.13011826,38.30135388,32.91644624,36.8878845,23.47488511,17.84495392,23.45704349,63.1870946,63.23836737,66.97993048,47.1363641,47.13746114,51.82232032,16.16251074,16.16933198,20.09258713,3.200061354,3.5232909510000003,8.015942751,69.13458663,67.73388439,71.42541671,53.08025338,51.146785200000004,56.40990538,24.54056806,21.68595133,29.169990000000002,12.09691433,8.651861582999999,18.16430473,47.23679442,48.24378099,45.71573284,18.697109100000002,18.78294713,18.47581746,6.28806013,5.767223329,7.5534946629999995,0.0,0.0,0.0,0,dreadds
18,155,week4,speed28,0.28,4.5,15.90918394,0.4549,0.2958,16.6369708,65.21644018,3.7772934989999998,66.30496536,2.9796770589999997,62.783316500000005,2.701380576,61.81006035,13.74238534,59.68907573,10.98810405,66.25836976,13.26986526,98.48397193,11.70930526,102.74894590000001,8.208744759,91.78334731,11.26543467,135.4103026,13.74238534,137.7802283,12.14876824,131.5795911,14.29584946,77.14341824,74.21483887,76.09416043,62.13315841,58.47490325,61.19168696,36.97749207,32.75723146,35.23177296,26.33670452,20.00590967,26.14165027,65.7439768,65.9750982,69.55862884,48.61422659,48.89368266,53.49365045,16.88587569,17.02567554,21.99361306,2.818444444,3.010758144,6.68832655,70.92823956,69.15656678,73.80752209,54.71128646,52.42648273,58.51182606,24.65081842,21.96738341,29.07876805,12.32349204,8.208363536,19.43436087,48.99948709,49.57488131,47.48762047,19.14922424,19.54418601,18.28803263,7.011583084,6.13956021,8.902346195,0.0,0.0,0.0,0,dreadds
19,155,week4,speed32,0.324186047,4.860465116,,0.409674419,0.260651163,,67.41538036,7.276617685,70.05383432,6.103153934,65.40387936,4.300438173,67.83347168,15.28228243,66.5952504,10.99238677,70.95118585,11.82651773,98.92541474,10.99314063,102.443198,8.217695952,93.76929032,9.379766712,133.44831920000001,15.28228243,135.9514242,13.15885367,130.7583142,15.50447482,,,,,,,,,,,,,,,,,,,,,,,,,86.73924913,84.79875011,89.66522299,71.11456051,68.75710450000001,74.75249848,,,,,,,51.79069174,54.01218872,,22.05295491,23.78698099,21.18674152,9.134148908,10.18484177,10.34343347,0.0,0.0,0.0,0,dreadds
20,155,week6,speed16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,dreadds
